number,prize
380512,1st
330448,2nd
556927,2nd
834706,2nd
000393,3rd
036790,3rd
073257,3rd
106898,3rd
132911,3rd
164302,3rd
189070,3rd
228291,3rd
262116,3rd
291825,3rd
325346,3rd
003088,3rd
036883,3rd
074371,3rd
107350,3rd
133543,3rd
165070,3rd
190774,3rd
228358,3rd
262925,3rd
293007,3rd
325864,3rd
004568,3rd
037259,3rd
074574,3rd
107698,3rd
133780,3rd
165139,3rd
191475,3rd
229075,3rd
262953,3rd
293800,3rd
326379,3rd
006383,3rd
037637,3rd
074623,3rd
108441,3rd
134983,3rd
165151,3rd
193476,3rd
230383,3rd
263525,3rd
294699,3rd
327004,3rd
007252,3rd
038353,3rd
075094,3rd
109417,3rd
135177,3rd
165456,3rd
193659,3rd
230842,3rd
264854,3rd
295018,3rd
327216,3rd
009074,3rd
039062,3rd
076003,3rd
109923,3rd
135735,3rd
165479,3rd
193712,3rd
230894,3rd
265375,3rd
295330,3rd
329171,3rd
009613,3rd
040177,3rd
076324,3rd
110105,3rd
135775,3rd
166459,3rd
194114,3rd
231538,3rd
265602,3rd
298289,3rd
329580,3rd
009674,3rd
041590,3rd
076438,3rd
110200,3rd
138565,3rd
166466,3rd
194442,3rd
231558,3rd
266325,3rd
298510,3rd
329650,3rd
010150,3rd
041890,3rd
076915,3rd
112231,3rd
139231,3rd
166727,3rd
195351,3rd
231866,3rd
266635,3rd
299122,3rd
331141,3rd
010203,3rd
041961,3rd
077060,3rd
113838,3rd
139331,3rd
168172,3rd
195865,3rd
233739,3rd
266692,3rd
299303,3rd
331702,3rd
011161,3rd
042090,3rd
077827,3rd
114160,3rd
139624,3rd
168728,3rd
197328,3rd
234659,3rd
268076,3rd
299335,3rd
332301,3rd
011273,3rd
042883,3rd
078266,3rd
115496,3rd
139677,3rd
168944,3rd
197358,3rd
234678,3rd
268800,3rd
299745,3rd
332339,3rd
011512,3rd
043520,3rd
080164,3rd
116029,3rd
140120,3rd
168986,3rd
198209,3rd
234727,3rd
269759,3rd
299984,3rd
332650,3rd
011689,3rd
044368,3rd
080185,3rd
116124,3rd
140183,3rd
169251,3rd
199175,3rd
235519,3rd
269926,3rd
300034,3rd
333005,3rd
011804,3rd
044843,3rd
080601,3rd
116635,3rd
141866,3rd
169739,3rd
201427,3rd
235559,3rd
270135,3rd
300788,3rd
333082,3rd
012251,3rd
045686,3rd
081498,3rd
119128,3rd
143223,3rd
169819,3rd
201440,3rd
236280,3rd
270284,3rd
300851,3rd
333335,3rd
014160,3rd
046683,3rd
082243,3rd
119432,3rd
144680,3rd
170074,3rd
201569,3rd
236390,3rd
270448,3rd
301882,3rd
333943,3rd
014215,3rd
048602,3rd
082553,3rd
119850,3rd
146875,3rd
170174,3rd
203012,3rd
236793,3rd
272307,3rd
303055,3rd
334246,3rd
014399,3rd
051675,3rd
082604,3rd
120350,3rd
147324,3rd
170405,3rd
203974,3rd
237437,3rd
272534,3rd
303429,3rd
336068,3rd
016023,3rd
052881,3rd
084731,3rd
120703,3rd
147348,3rd
172415,3rd
204399,3rd
238808,3rd
272584,3rd
303454,3rd
336097,3rd
016442,3rd
053166,3rd
084985,3rd
120789,3rd
147594,3rd
